title,url
天津日报：第十八届中国青年科技奖揭晓 我市高校3人入选,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064551.shtml
中国新闻出版广电报：叶嘉莹：一生传递诗词之美,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064741.shtml
香港经济导报：2024年中國上市公司治理指數在津發布,http://news.nankai.edu.cn/mtnk/system/2024/11/13/030064399.shtml
天津教育报：南大参加中国国际大学生创新大赛获佳绩 “灵犀意通”团队夺金,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064524.shtml
新华每日电讯：“疏隽开子瞻，深婉开少游”   欧阳修词的艺术境界,http://news.nankai.edu.cn/mtnk/system/2024/11/18/030064497.shtml
央视新闻客户端：古典文学研究学者叶嘉莹逝世 享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064640.shtml
新华社：巴西学者马天斯：来中国 与未来同行,http://news.nankai.edu.cn/mtnk/system/2024/11/18/030064484.shtml
中华读书报：开启红学文献研究的“潘多拉魔盒”,http://news.nankai.edu.cn/mtnk/system/2024/11/14/030064434.shtml
国家自然科学基金重大项目“科技金融的基础理论与实证”立项-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/12/01/030064785.shtml
人民日报：别了，“诗词的女儿”叶嘉莹,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064612.shtml
中国新闻出版广电报：镜中人影,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064742.shtml
天津日报：7个月呈现100场活动 吸引现场和直播平台400余万人次观看 “桥边音乐汇”天津文旅新名片（图）,http://news.nankai.edu.cn/mtnk/system/2024/11/27/030064706.shtml
央视新闻：再送一程#南开师生雨中送别叶嘉莹#,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064633.shtml
光明日报：加快职业教育体系建设 助推新质生产力发展,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064733.shtml
每日新报：“耐他风雪耐他寒，纵寒也是春寒了” 跨越67年的师生唱和 用一生践行追随顾师的初衷,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064732.shtml
今晚报：大勋尤在传诗,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064730.shtml
微信往期推送-官方微信-南开大学,http://news.nankai.edu.cn/wx/system/2019/06/03/030033750.shtml
津云客户端：叶嘉莹：诗词深处，温暖如初 ——记媒体人眼中的叶嘉莹先生,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064659.shtml
中央电视台：今晚！她唯一授权的传记电影,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064555.shtml
光明日报：数字经济引领现代化产业体系的建设,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064632.shtml
新华每日电讯：告别叶嘉莹,http://news.nankai.edu.cn/mtnk/system/2024/12/01/030064781.shtml
天津日报：“叶先生，一路走好！” 南开大学师生追念叶嘉莹先生,http://news.nankai.edu.cn/mtnk/system/2024/11/25/030064617.shtml
焦点访谈：盘活闲置资源 “包袱”变财富,http://news.nankai.edu.cn/mtnk/system/2024/11/22/030064568.shtml
校领导率队赴福建省开展招生宣传工作-南开要闻-南开大学,http://news.nankai.edu.cn/ywsd/system/2024/11/29/030064766.shtml
证券时报网：第八届中国（深圳）公司治理高峰论坛在深圳举办,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064587.shtml
新华社：2024年中国上市公司治理指数发布,http://news.nankai.edu.cn/mtnk/system/2024/11/13/030064405.shtml
文汇报：叶嘉莹先生的最后时光,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064727.shtml
天津日报：华北五省（市、自治区）大学生人文知识竞赛天津赛区团队赛决赛举办 南开大学天津师大将代表我市参加年度总决赛,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064669.shtml
天津教育报：一世诗心 百年风华——追记古典文学研究学者、南开大学讲席教授、诗人叶嘉莹先生,http://news.nankai.edu.cn/mtnk/system/2024/11/29/030064751.shtml
央视新闻客户端：叶嘉莹：一生只为一件事 古典文学研究学者叶嘉莹逝世 享年100岁,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064639.shtml
今晚报：老年人的网购热情需要更多保护,http://news.nankai.edu.cn/mtnk/system/2024/11/14/030064427.shtml
津云：雨中送别“诗词的女儿”,http://news.nankai.edu.cn/mtnk/system/2024/11/26/030064629.shtml
中国新闻出版广电报：书生志意托讴吟,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064743.shtml
天津广播电视台：南开大学教授设计蛇年邮票,http://news.nankai.edu.cn/mtnk/system/2024/11/14/030064422.shtml
天津日报：天津市基层治理研究院成立,http://news.nankai.edu.cn/mtnk/system/2024/11/24/030064592.shtml
每日新报：同门师姐、诗词教育大家杨敏如之子 独家委托新报向叶嘉莹先生致以哀悼,http://news.nankai.edu.cn/mtnk/system/2024/11/28/030064731.shtml
天津新闻：第二届高校党委书记“思享汇”暨高校党建 研究专业委员会全体委员会议在津举行 陈辐宽致辞,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064526.shtml
中国新闻网：2024年中国上市公司治理指数发布,http://news.nankai.edu.cn/mtnk/system/2024/11/13/030064421.shtml
每日新报：叶嘉莹先生去世 图书馆连夜布置灵堂 迦陵学舍前致敬不断 风雨送大师 她在丛中笑,http://news.nankai.edu.cn/mtnk/system/2024/11/27/030064709.shtml
南开大学,http://www.nankai.edu.cn/
新华财经：中国上市公司绿色治理指数稳步提升,http://news.nankai.edu.cn/mtnk/system/2024/11/13/030064406.shtml
人民日报：与时俱进深化社会工作体制机制研究,http://news.nankai.edu.cn/mtnk/system/2024/11/20/030064523.shtml
中国教育电视台：第二届高校党委书记“思享汇”暨高校党建研究专业委员会全体委员会议举办,http://news.nankai.edu.cn/mtnk/system/2024/11/21/030064548.shtml
